"filename", "language", "Python", "Markdown", "TypeScript", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "JSON with Comments", "Shell Script", "JavaScript", "Properties", "Ignore", "Docker", "XML", "YAML", "HTML", "comment", "blank", "total"
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/posts/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/users/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 136
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/(console)/api-keys/create/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 92
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/(console)/api-keys/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/(console)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/(console)/my-credits/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/(console)/my-invites/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 156
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/(console)/my-orders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/analysis/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 207
